"","date","hour","day","month","count","year"
"375",2012-12-16,"14","Sunday","Dec",6,"2012"
"376",2012-12-16,"15","Sunday","Dec",6,"2012"
"377",2012-12-16,"16","Sunday","Dec",3,"2012"
"378",2012-12-16,"17","Sunday","Dec",9,"2012"
"379",2012-12-16,"18","Sunday","Dec",9,"2012"
"380",2012-12-16,"19","Sunday","Dec",11,"2012"
"381",2012-12-16,"20","Sunday","Dec",4,"2012"
"382",2012-12-16,"21","Sunday","Dec",2,"2012"
"383",2012-12-16,"22","Sunday","Dec",2,"2012"
"384",2012-12-16,"23","Sunday","Dec",3,"2012"
"385",2012-12-17,"0","Monday","Dec",4,"2012"
"386",2012-12-17,"1","Monday","Dec",1,"2012"
"387",2012-12-17,"2","Monday","Dec",1,"2012"
"388",2012-12-17,"3","Monday","Dec",1,"2012"
"389",2012-12-17,"4","Monday","Dec",1,"2012"
"390",2012-12-17,"5","Monday","Dec",3,"2012"
"391",2012-12-17,"6","Monday","Dec",1,"2012"
"392",2012-12-17,"7","Monday","Dec",1,"2012"
"393",2012-12-17,"8","Monday","Dec",5,"2012"
"394",2012-12-17,"9","Monday","Dec",7,"2012"
"395",2012-12-17,"10","Monday","Dec",3,"2012"
"396",2012-12-17,"11","Monday","Dec",11,"2012"
"397",2012-12-17,"12","Monday","Dec",7,"2012"
"398",2012-12-17,"13","Monday","Dec",10,"2012"
"399",2012-12-17,"14","Monday","Dec",8,"2012"
"400",2012-12-17,"15","Monday","Dec",5,"2012"
"401",2012-12-17,"16","Monday","Dec",5,"2012"
"402",2012-12-17,"17","Monday","Dec",3,"2012"
"403",2012-12-17,"18","Monday","Dec",6,"2012"
"404",2012-12-17,"19","Monday","Dec",7,"2012"
"405",2012-12-17,"20","Monday","Dec",7,"2012"
"406",2012-12-17,"21","Monday","Dec",3,"2012"
"407",2012-12-17,"22","Monday","Dec",3,"2012"
"408",2012-12-17,"23","Monday","Dec",1,"2012"
"409",2012-12-18,"0","Tuesday","Dec",3,"2012"
"410",2012-12-18,"1","Tuesday","Dec",7,"2012"
"411",2012-12-18,"2","Tuesday","Dec",3,"2012"
"412",2012-12-18,"3","Tuesday","Dec",1,"2012"
"413",2012-12-18,"4","Tuesday","Dec",2,"2012"
"414",2012-12-18,"5","Tuesday","Dec",0,"2012"
"415",2012-12-18,"6","Tuesday","Dec",2,"2012"
"416",2012-12-18,"7","Tuesday","Dec",1,"2012"
"417",2012-12-18,"8","Tuesday","Dec",3,"2012"
"418",2012-12-18,"9","Tuesday","Dec",5,"2012"
"419",2012-12-18,"10","Tuesday","Dec",8,"2012"
"420",2012-12-18,"11","Tuesday","Dec",5,"2012"
"421",2012-12-18,"12","Tuesday","Dec",10,"2012"
"422",2012-12-18,"13","Tuesday","Dec",6,"2012"
"423",2012-12-18,"14","Tuesday","Dec",5,"2012"
"424",2012-12-18,"15","Tuesday","Dec",9,"2012"
"425",2012-12-18,"16","Tuesday","Dec",8,"2012"
"426",2012-12-18,"17","Tuesday","Dec",9,"2012"
"427",2012-12-18,"18","Tuesday","Dec",4,"2012"
"428",2012-12-18,"19","Tuesday","Dec",4,"2012"
"429",2012-12-18,"20","Tuesday","Dec",7,"2012"
"430",2012-12-18,"21","Tuesday","Dec",2,"2012"
"431",2012-12-18,"22","Tuesday","Dec",1,"2012"
"432",2012-12-18,"23","Tuesday","Dec",5,"2012"
"433",2012-12-19,"0","Wednesday","Dec",3,"2012"
"434",2012-12-19,"1","Wednesday","Dec",1,"2012"
"435",2012-12-19,"2","Wednesday","Dec",4,"2012"
"436",2012-12-19,"3","Wednesday","Dec",3,"2012"
"437",2012-12-19,"4","Wednesday","Dec",1,"2012"
"438",2012-12-19,"5","Wednesday","Dec",3,"2012"
"439",2012-12-19,"6","Wednesday","Dec",3,"2012"
"440",2012-12-19,"7","Wednesday","Dec",4,"2012"
"441",2012-12-19,"8","Wednesday","Dec",1,"2012"
"442",2012-12-19,"9","Wednesday","Dec",8,"2012"
"443",2012-12-19,"10","Wednesday","Dec",4,"2012"
"444",2012-12-19,"11","Wednesday","Dec",4,"2012"
"445",2012-12-19,"12","Wednesday","Dec",9,"2012"
"446",2012-12-19,"13","Wednesday","Dec",5,"2012"
"447",2012-12-19,"14","Wednesday","Dec",7,"2012"
"448",2012-12-19,"15","Wednesday","Dec",6,"2012"
"449",2012-12-19,"16","Wednesday","Dec",5,"2012"
"450",2012-12-19,"17","Wednesday","Dec",6,"2012"
"451",2012-12-19,"18","Wednesday","Dec",4,"2012"
"452",2012-12-19,"19","Wednesday","Dec",4,"2012"
"453",2012-12-19,"20","Wednesday","Dec",6,"2012"
"454",2012-12-19,"21","Wednesday","Dec",8,"2012"
"455",2012-12-19,"22","Wednesday","Dec",5,"2012"
"456",2012-12-19,"23","Wednesday","Dec",5,"2012"
"457",2012-12-20,"0","Thursday","Dec",0,"2012"
"458",2012-12-20,"1","Thursday","Dec",2,"2012"
"459",2012-12-20,"2","Thursday","Dec",3,"2012"
"460",2012-12-20,"3","Thursday","Dec",5,"2012"
"461",2012-12-20,"4","Thursday","Dec",0,"2012"
"462",2012-12-20,"5","Thursday","Dec",3,"2012"
"463",2012-12-20,"6","Thursday","Dec",0,"2012"
"464",2012-12-20,"7","Thursday","Dec",4,"2012"
"465",2012-12-20,"8","Thursday","Dec",2,"2012"
"466",2012-12-20,"9","Thursday","Dec",4,"2012"
"467",2012-12-20,"10","Thursday","Dec",8,"2012"
"468",2012-12-20,"11","Thursday","Dec",10,"2012"
"469",2012-12-20,"12","Thursday","Dec",6,"2012"
"470",2012-12-20,"13","Thursday","Dec",8,"2012"
"471",2012-12-20,"14","Thursday","Dec",8,"2012"
"472",2012-12-20,"15","Thursday","Dec",7,"2012"
"473",2012-12-20,"16","Thursday","Dec",5,"2012"
"474",2012-12-20,"17","Thursday","Dec",14,"2012"
"475",2012-12-20,"18","Thursday","Dec",6,"2012"
"476",2012-12-20,"19","Thursday","Dec",5,"2012"
"477",2012-12-20,"20","Thursday","Dec",3,"2012"
"478",2012-12-20,"21","Thursday","Dec",6,"2012"
"479",2012-12-20,"22","Thursday","Dec",7,"2012"
